year;imdb;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;binary
2004;tt0368933;45000000;95149435;122071435;55493679;117337605;150537624;PASS
2002;tt0290095;60000000;50586000;104429625;77710753;65517936;135255080;FAIL
2007;tt0467406;7000000;143495265;231450102;7864804;161223170;260044254;PASS
2009;tt1103982;1300000;695840;1005840;1411451;755495;1092072;FAIL
2007;tt0815244;16500000;11892415;13636339;18538467;13361645;15321020;PASS
2012;tt1981677;17000000;65001093;115331177;17248856;65952616;117019460;PASS
1995;tt0114319;58000000;53458319;87100000;88669209;81725980;133156691;PASS
2009;tt1046173;175000000;150201498;302469017;190003029;163078512;328400169;FAIL
1995;tt0112573;72000000;75545647;209000000;110072121;115492633;319514907;FAIL
2011;tt0990407;110000000;98780042;227983150;113925987;102305579;236120048;FAIL
2002;tt0257756;42000000;41543207;63781100;54397527;53805898;82607955;PASS
2012;tt1764234;15000000;14945541;37238774;15219578;15164322;37783896;FAIL
2002;tt0295297;100000000;261987880;878979634;129517922;339321257;1138436153;PASS
2008;tt0367882;185000000;317023851;786558145;200217418;343101064;851257517;FAIL
2006;tt0348150;232000000;200120000;390874000;268144752;231297965;451770741;FAIL
2011;tt1596346;18000000;43853424;47158652;18642434;45418587;48841781;PASS
1995;tt0114709;30000000;191780865;364530148;45863384;293190647;557286202;FAIL
2010;tt1399683;2000000;6531503;16131552;2136464;6977159;17232238;PASS
2004;tt0369339;60000000;100170152;217670152;73991573;123529118;268429281;FAIL
1999;tt0134273;40000000;36443442;96398826;55938481;50964770;134810098;FAIL
2012;tt1646987;150000000;83670083;301970083;152195785;84894893;306390492;FAIL
2008;tt0486321;25000000;14543943;57546746;27056408;15740274;62280329;FAIL
2003;tt0290334;125000000;214949694;407711549;158260870;272145004;516198274;PASS
1995;tt0112346;62000000;60022813;107822813;94784326;91761643;164837302;PASS
2011;tt1302011;150000000;165249063;664837547;155353618;171146932;688566122;PASS
2012;tt2125435;1800000;12795746;21080058;1826349;12983057;21388640;FAIL
2010;tt1226236;10000000;5005465;15132211;10682318;5346997;16164710;PASS
2006;tt0367027;2000000;1985292;1985292;2311593;2294593;2294593;PASS
1981;tt0082509;9300000;19571091;19571091;23825542;50138908;50138908;FAIL
1970;tt0065466;1000000;9000000;9000000;5997631;53978683;53978683;PASS
1989;tt0096754;70000000;54243125;54243125;131571219;101954772;101954772;PASS
2006;tt0429591;12000000;18597342;22978953;13869556;21494740;26558990;PASS
2004;tt0374900;400000;44540956;46122713;493277;54927590;56878201;FAIL
2002;tt0121765;115000000;310676740;656695615;148945610;402382056;850538512;FAIL
2008;tt1226681;1500000;3865;31916;1623384;4183;34541;FAIL
1997;tt0119567;75000000;229086679;786686679;108842859;332459322;1141669701;FAIL
1999;tt0145660;35000000;206040085;310332636;48946171;288139235;433988407;FAIL
1975;tt0071853;400000;3427696;5028948;1731240;14835412;21765791;FAIL
2005;tt0425123;58000000;48318130;100687083;69195921;57645130;120123026;PASS
2006;tt0452637;75000000;42285169;72785169;86684726;48873044;84124832;FAIL
2013;tt1411250;38000000;42025135;92425135;38000000;42025135;92425135;FAIL
2004;tt0376541;35000000;33987757;115476509;43161751;41913460;142404808;PASS
1996;tt0116908;65000000;33447612;33447612;96535720;49675220;49675220;FAIL
2006;tt0465551;27500000;17510118;49752391;31784400;20238130;57503632;PASS
2011;tt1411238;25000000;70662220;149228078;25892270;73184210;154554145;PASS
2002;tt0120912;140000000;190418803;441767803;181325090;246626476;572168477;FAIL
2004;tt0414852;15000000;1200216;11208291;18497893;1480098;13821985;FAIL
2011;tt1598822;26000000;54544638;143663899;26927960;56491379;148791377;PASS
2009;tt1045772;13000000;2037459;15144685;14114511;2212134;16443063;FAIL
1987;tt0094012;22700000;38119483;38119483;46544021;78160088;78160088;FAIL
1997;tt0118583;60000000;47795018;160700000;87074287;69361952;233213967;PASS
2010;tt1183923;10000000;152857;312857;10682318;163287;334204;PASS
2002;tt0280590;50000000;126293452;171269535;64758961;163572654;221824742;FAIL
2003;tt0159365;80000000;95632614;161632614;101286957;121079205;204640944;PASS
2000;tt0203119;4300000;6946056;10154577;5817506;9397377;13738212;FAIL
2009;tt0472033;30000000;31749894;48559999;32571948;34471863;52723125;FAIL
1997;tt0118749;15000000;26410771;43111725;21768572;38328318;62565379;FAIL
2010;tt1226753;20000000;31177548;46604054;21364637;33304850;49783934;PASS
2012;tt1547234;35000000;20275446;31393201;35512350;20572249;31852752;PASS
2010;tt0954947;13000000;217277;3617277;13887014;232102;3864090;FAIL
2011;tt1571222;20000000;5702083;14807531;20713816;5905595;15336023;FAIL
1990;tt0100814;10000000;16667084;16667084;17829754;29717001;29717001;PASS
1995;tt0114508;35000000;60054449;113354449;53507281;91810008;173293953;FAIL
2000;tt0146882;20000000;27277055;47881663;27058168;36903356;64779503;FAIL
2010;tt1371155;8000000;1095369;15644196;8545855;1170108;16711628;PASS
2011;tt1622979;40000000;42587643;157887643;41427631;44107629;163522777;FAIL
2005;tt0121164;30000000;53359111;114770654;35790994;63659187;136925192;FAIL
2009;tt1176740;21000000;9451946;10108016;22800364;10262276;10974592;PASS
1985;tt0088993;18000000;;;38971004;;;FAIL
2000;tt0242423;14000000;46729374;73180297;18940717;63220562;99006237;FAIL
2007;tt0480249;150000000;256393010;585410052;168531522;288068696;657733649;PASS
1999;tt0131646;30000000;11578022;11578022;41953861;16191424;16191424;FAIL
2013;tt1939659;30000000;35266619;85001659;30000000;35266619;85001659;PASS
2010;tt1235189;8000000;109338;109338;8545855;116798;116798;FAIL
1984;tt0086984;10000000;8801940;8801940;22414440;19729056;19729056;FAIL
1999;tt0144168;13000000;6276869;6276869;18180006;8777963;8777963;PASS
2004;tt0366551;9000000;18225165;18225165;11098736;22475144;22475144;PASS
1977;tt0075860;20000000;166000000;337700000;76862926;637962288;1297830510;FAIL
2009;tt0362478;25000000;15051977;26341896;27143290;16342407;28600229;PASS
2001;tt0246578;4500000;1270522;7696529;5921307;1671811;10127447;FAIL
2000;tt0212338;55000000;166225040;304599899;74409961;224887250;412095756;FAIL
2005;tt0386140;80000000;45575336;141475336;95442650;54372886;168784763;FAIL
2004;tt0327162;100000000;59475623;96221971;123319288;73344915;118660249;PASS
2006;tt0398913;30000000;480314;7756224;34673890;555145;8964615;PASS
2003;tt0285531;68000000;33685268;75685268;86093913;42648478;95824131;FAIL
1983;tt0086567;12000000;74433837;74433837;28072261;174127177;174127177;FAIL
2002;tt0286261;9000000;184255;184255;11656613;238643;238643;PASS
2010;tt1164999;35000000;5101237;25101237;37388114;5449304;26813941;FAIL
1998;tt0162973;2000000;1152411;1152411;2858265;1646948;1646948;FAIL
2001;tt0206275;13000000;91038276;131638276;17105997;119792347;173215693;PASS
1975;tt0073629;1200000;139876417;139876417;5193720;605399166;605399166;FAIL
2000;tt0181984;9000000;16963963;28773637;12176175;22950688;38928095;FAIL
2002;tt0275022;12000000;37188667;57000000;15542151;48165989;73825215;PASS
2012;tt1790885;52500000;95720716;137720716;53268525;97121930;139736750;PASS
2010;tt1130884;80000000;128012934;296831073;85458547;136747492;317084404;FAIL
2003;tt0325980;125000000;305411224;634954103;158260870;386677167;803907108;FAIL
2010;tt0938283;150000000;131772187;319713881;160234776;140763246;341528548;FAIL
1992;tt0103639;28000000;217350219;504050219;46489723;360876835;836898388;FAIL
2005;tt0358082;80000000;128200012;260700012;95442650;152946861;311023751;FAIL
2013;tt1300854;200000000;408992272;1212692272;200000000;408992272;1212692272;FAIL
1998;tt0120694;17000000;55041738;55041738;24295249;78661926;78661926;PASS
2006;tt0475394;17000000;35662731;56047261;19648538;41218854;64779219;FAIL
1999;tt0175880;37000000;22450975;48446802;51743095;31396836;67751013;FAIL
2013;tt2294629;150000000;393050114;1004550114;150000000;393050114;1004550114;PASS
2013;tt1288558;17000000;54239856;97402049;17000000;54239856;97402049;PASS
2013;tt2017020;110000000;71017784;348545841;110000000;71017784;348545841;PASS
2000;tt0161081;90000000;155464351;288693989;121761754;210329023;390576517;PASS
1988;tt0096256;4000000;13000000;13000000;7878588;25605411;25605411;FAIL
2010;tt0398286;260000000;200821936;586581936;277740279;214524387;626605502;PASS
1997;tt0119116;95000000;63570862;263900000;137867622;92256459;382981741;FAIL
2000;tt0120913;75000000;22751979;36751979;101468129;30781343;49722060;PASS
2009;tt0765010;26000000;28544157;45043870;28229022;30991293;48905553;PASS
2000;tt0200550;45000000;60786269;115786269;60880877;82238253;156648214;FAIL
2008;tt0910970;180000000;223808164;532590994;194806136;242217798;576399965;FAIL
2012;tt1430626;55000000;31051126;123056220;55805121;31505670;124857587;FAIL
2013;tt1408101;190000000;228778661;466978661;190000000;228778661;466978661;FAIL
2013;tt1343092;190000000;144840419;351040419;190000000;144840419;351040419;FAIL
2011;tt1436562;90000000;143619809;487519809;93212171;148745713;504919774;FAIL
2009;tt1266029;1900000;1445366;7785229;2062890;1569280;8452669;FAIL
2003;tt0314331;45000000;59472278;247967903;56973913;75297075;313948928;PASS
2013;tt2334873;18000000;33345833;68447831;18000000;33345833;68447831;PASS
2013;tt1981115;170000000;204674790;631674790;170000000;204674790;631674790;FAIL
1980;tt0081375;15000000;69847348;69847348;42416518;197512086;197512086;PASS
1982;tt0084827;17000000;26918576;26918576;41025556;64961738;64961738;FAIL
2008;tt0985699;90000000;83077762;203902107;97403068;89911432;220674342;FAIL
2011;tt1396218;55000000;68224452;189624452;56962993;70659436;196392298;FAIL
2010;tt1282140;8000000;58401464;76200721;8545855;62386303;81400037;PASS
2011;tt1229238;145000000;209397903;694713230;150175164;216871479;719508092;FAIL
1971;tt0067992;3000000;4000000;4000000;17263543;23018057;23018057;FAIL
2012;tt1817273;15000000;21403519;47011449;15219578;21716836;47699629;FAIL
1976;tt0074812;7000000;25000000;25000000;28642791;102295681;102295681;FAIL
1995;tt0112579;22000000;71516617;175516617;33633148;109333135;268326198;PASS
2009;tt1235796;12000000;550472;550472;13028779;597665;597665;PASS
1995;tt0113855;20000000;70433227;122133227;30575589;107676871;186714768;FAIL
2004;tt0385267;26000000;45489752;63489752;32063015;56097638;78295110;FAIL
2009;tt0465580;38000000;31811527;44411527;41257801;34538780;48218998;PASS
2000;tt0199753;80000000;17480890;33463969;108232671;23650043;45273684;FAIL
2013;tt1335975;225000000;38362475;145803842;225000000;38362475;145803842;FAIL
2011;tt1640459;3000000;703372;834953;3107072;728476;864753;FAIL
2010;tt1423894;30000000;7502560;8845575;32046955;8014473;9449125;PASS
2008;tt0882978;20000000;;22139590;21645126;;23960711;FAIL
2009;tt1080016;90000000;196573705;886968695;97715844;213426283;963009937;FAIL
2010;tt1244754;12500000;6797696;10133552;13352898;7261515;10824983;PASS
2012;tt1392170;80000000;408010692;684510692;81171085;413983383;694530947;PASS
2009;tt0448011;50000000;79957634;187858642;54286580;86812530;203964063;FAIL
1996;tt0116361;3000000;295493;295493;4455495;438856;438856;PASS
2001;tt0230600;17000000;96522687;209947037;22369381;127008987;276257960;PASS
2005;tt0395972;30000000;18324242;25224242;35790994;21861428;30093356;PASS
2000;tt0180093;4500000;3635482;7390108;6088088;4918474;9998139;PASS
2003;tt0335119;12000000;11634362;43281552;15193043;14730114;54798208;PASS
2003;tt0310778;20000000;2353728;8361736;25321739;2980024;10586685;PASS
2006;tt0409182;160000000;60674817;181674817;184927415;70127732;209979090;FAIL
2005;tt0387131;25500000;33579798;81079798;30422345;40061811;96730885;PASS
2009;tt1300851;8000000;10273187;10273187;8685853;11153924;11153924;FAIL
1986;tt0090555;5000000;174803506;328000000;10618824;371241520;696594829;FAIL
2011;tt1568346;90000000;102515793;233170238;93212171;106174662;241492267;FAIL
2003;tt0328538;2000000;4601043;9505996;2532174;5825321;12035418;PASS
2005;tt0366627;28500000;6301131;15452978;34001444;7517458;18435915;FAIL
2013;tt1924429;16000000;2322593;22594052;16000000;2322593;22594052;FAIL
2003;tt0298814;85000000;31111260;74132631;107617391;39389560;93858357;PASS
2001;tt0265086;95000000;108638745;159691085;125005366;142951853;210128869;FAIL
2011;tt0478304;35000000;13305665;62305665;36249178;13780555;64529403;FAIL
2012;tt1446192;145000000;103412758;306900902;147122592;104926572;311393491;FAIL
2012;tt1991245;1000000;18119640;38390020;1014639;18384886;38951995;FAIL
2008;tt0862846;5000000;12062558;16462558;5411282;13054780;17816707;PASS
1977;tt0076245;6000000;65108;1365108;23058878;250220;5246310;PASS
2005;tt0375210;10000000;56094360;92094360;11930331;66922430;109871622;FAIL
2001;tt0264761;1500000;7025722;8831884;1973769;9244768;11621399;PASS
1998;tt0120586;10000000;6719864;6719864;14291323;9603575;9603575;FAIL
2005;tt0435623;450000;379418;909061;536865;452658;1084540;FAIL
1987;tt0093779;15000000;30857000;30857000;30755961;63269112;63269112;FAIL
1995;tt0114906;800000;4198137;5034794;1223024;6418026;7697090;PASS
1995;tt0112130;28000000;38372662;120918508;42805825;58663337;184857731;PASS
1982;tt0083929;4500000;27092880;27092880;10859706;65382380;65382380;FAIL
2011;tt1498569;8000000;163753;2818394;8285526;169597;2918985;PASS
2007;tt0411061;30000000;16930884;32955399;33706305;19022584;37026824;FAIL
2004;tt0349416;10000000;70527;70527;12331929;86973;86973;PASS
2013;tt2140373;35000000;82834332;100734332;35000000;82834332;100734332;PASS
2010;tt1212436;35000000;37490007;75281179;37388114;40048019;80417752;PASS
2002;tt0277434;70000000;78120196;114658262;90662545;101179654;148502998;PASS
2009;tt1058017;18500000;18451251;32679264;20086035;20033106;35480909;FAIL
1998;tt0120877;20000000;20268825;20268825;28582646;28966833;28966833;FAIL
2004;tt0356470;19000000;51438175;70067909;23430665;63433191;86407246;PASS
2006;tt0416496;35000000;;18400000;40452872;;21266653;PASS
2009;tt0988045;90000000;209028679;498438212;97715844;226949041;541170116;FAIL
1987;tt0093010;14000000;156645693;320100000;28705563;321185920;656332204;FAIL
2003;tt0315983;16500000;13005485;16157923;20890435;16466075;20457336;PASS
2002;tt0187738;54000000;81676888;154338601;69939678;105786208;199896148;FAIL
1976;tt0074512;3000000;13200000;13200000;12275482;54012120;54012120;PASS
2007;tt0448134;40000000;3688560;32030610;44941739;4144258;35987783;FAIL
2010;tt1431181;8000000;3205706;18505706;8545855;3424437;19768384;PASS
2011;tt1540133;6000000;5359774;15944629;6214145;5551069;16513705;FAIL
1985;tt0088939;15000000;93589701;93589701;32475836;202626921;202626921;PASS
2007;tt0425112;16000000;23618786;81742618;17976696;26536733;91841386;FAIL
2013;tt1731141;110000000;61737191;89737191;110000000;61737191;89737191;FAIL
1981;tt0082418;1250000;21722776;21722776;3202358;55651281;55651281;FAIL
2002;tt0180052;100000000;4411102;7094995;129517922;5713168;9189290;FAIL
1987;tt0093389;25000000;43984000;43984000;51259935;90184679;90184679;FAIL
2007;tt0452623;19000000;20300218;34619699;21347326;22808178;38896737;PASS
2007;tt0382932;150000000;206445654;626549695;168531522;231950669;703955827;FAIL
2011;tt1684628;900000;454121;454121;932122;470329;470329;PASS
2010;tt1017451;9500000;3573673;5278632;10148202;3817511;5638803;PASS
2008;tt0406759;12000000;31418697;56918697;12987076;34003083;61600619;PASS
2006;tt0382625;125000000;217536138;767820459;144474543;251427474;887444081;FAIL
1998;tt0120879;9000000;1053788;4861972;12862191;1506002;6948401;FAIL
2011;tt1629705;4500000;200558;1249765;4660609;207716;1294370;FAIL
2013;tt2024432;35000000;134506920;176269721;35000000;134506920;176269721;FAIL
1978;tt0077416;15000000;50000000;50000000;53560590;178535299;178535299;FAIL
1983;tt0085549;7000000;90463574;201463574;16375486;211626424;471294841;PASS
2008;tt0808244;14000000;2656784;12656784;15151588;2875321;13697884;PASS
2009;tt1054606;30000000;7689607;64352607;32571948;8348849;69869659;FAIL
1988;tt0095889;9500000;14114000;14114000;18711647;27799598;27799598;PASS
1984;tt0086879;18000000;51973029;51973029;40345992;116494634;116494634;PASS
2007;tt0385752;205000000;70107728;372234864;230326414;78769081;418222056;PASS
1991;tt0102057;70000000;119654823;300854823;119758826;204710301;514714575;FAIL
2008;tt1046997;45000000;7916887;9110458;48701534;8568101;9859851;FAIL
2005;tt0443536;17500000;51386611;109843390;20878080;61305929;131046803;PASS
2009;tt1152836;102500000;97104620;210379983;111287489;105429554;228416195;FAIL
2002;tt0327753;30000;77070;77070;38855;99819;99819;PASS
2013;tt1588173;30000000;66380662;116643610;30000000;66380662;116643610;FAIL
1993;tt0106677;6900000;7950889;7950889;11125966;12820482;12820482;PASS
2002;tt0268126;18500000;22498520;22498520;23960815;29139615;29139615;FAIL
1993;tt0107614;25000000;219195051;441286003;40311473;353443011;711555544;PASS
1997;tt0119217;10000000;138433435;225933435;14512381;200899879;327883215;FAIL
2011;tt1637688;35000000;37553932;170064664;36249178;38894261;176134406;FAIL
2011;tt1772240;5000000;17686929;26517819;5178454;18318189;27464261;FAIL
2011;tt1675192;4750000;1728953;3128953;4919531;1790661;3240628;PASS
2000;tt0213203;30000000;76501438;103284813;40587251;103499437;139734889;PASS
2002;tt0287717;38000000;85846296;119721296;49216810;111186338;155060534;PASS
2000;tt0190138;24000000;57262492;85527867;32469801;77470905;115711368;PASS
2010;tt0977855;50000000;11497497;26097497;53411592;12281992;27878177;PASS
2012;tt1800741;33000000;35074677;165552290;33483073;35588120;167975738;PASS
2003;tt0319061;70000000;66432867;123432867;88626087;84109786;156276743;FAIL
